#Table1
bestObjID,ra,dec,z,class,z1,velDisp,velDispErr,survey
1237650795682005565,143.52194,-0.31638046,0.4685692,GALAXY,0.4685692,250.0923,38.89159,boss
1237650796218876467,143.54132,0.14299116,0.5903737,GALAXY,0.5903737,207.1255,33.58204,boss
1237650795682005661,143.54947,-0.23879762,0.3377427,GALAXY,0.3377427,140.2363,14.46853,boss
1237650795145134837,143.51228,-0.75535881,0.5182961,GALAXY,0.5182961,421.5774,87.28716,boss
1237648720677831226,143.38167,-0.62034283,0.552982,GALAXY,0.552982,178.4942,30.31848,boss
1237650795145069096,143.42647,-0.65144755,0.4844724,GALAXY,0.4844724,228.2664,40.81819,boss
1237650794608198411,143.39661,-1.0921929,0.4852789,GALAXY,0.4852789,156.6174,42.83836,boss
1237650805337686667,143.38885,-1.4168176,0.6277575,GALAXY,0.6277575,318.4878,58.16259,boss
1237650794608263452,143.50071,-1.0663549,0.4852734,GALAXY,0.4852734,236.4172,39.38033,boss
1237648720677831126,143.33323,-0.42911283,0.4290162,GALAXY,0.4290162,185.4236,21.15729,boss
1237650795681874248,143.29758,-0.38371761,0.6118312,GALAXY,0.6118312,323.4527,76.42915,boss
0,143.36877,-0.30961247,0.2695396,GALAXY,0.2695396,674.8457,251.4157,boss
1237651755079172454,168.77689,3.4185292,0.3926193,GALAXY,0.3926193,122.6136,28.47511,boss
1237655123928613015,168.77786,3.5896972,0.6491418,GALAXY,0.6491418,328.5968,43.21169,boss
1237654604255724522,168.72493,3.850041,0.6498716,GALAXY,0.6498716,224.4012,33.12729,boss
1237654604255789507,168.75559,3.7929703,0.4603589,GALAXY,0.4603589,191.1594,26.42824,boss
1237655123928678623,168.88572,3.6813291,0.6436402,GALAXY,0.6436402,0,68.53647,boss
1237654604255789613,168.81815,3.859642,0.5495015,GALAXY,0.5495015,260.5784,44.63861,boss
1237655124465484120,168.65344,4.001923,0.4882922,GALAXY,0.4882922,291.268,73.97979,boss
1237655124465418720,168.552,4.1629873,0.2258264,GALAXY,0.2258264,89.51613,21.75411,boss
1237655124465418307,168.6128,4.081774,0.0390823,GALAXY,0.0390823,0,40.51607,boss
1237654604255724080,168.64077,3.9575146,0.230184,GALAXY,0.230184,84.43382,30.22232,boss
1237654604255724447,168.69046,3.9587687,0.500287,GALAXY,0.500287,283.9082,60.42039,boss
1237655124465484377,168.74401,3.9721273,0.572946,GALAXY,0.572946,243.9046,29.70997,boss
1237654604792594748,168.66252,4.2981722,0.3085591,GALAXY,0.3085591,235.0851,12.82805,boss
1237655125002354939,168.62712,4.4617795,0.2591594,GALAXY,0.2591594,191.7786,32.34634,boss
1237654604792660293,168.74205,4.2976547,0.3030603,GALAXY,0.3030603,211.943,16.61895,boss
1237655125002289955,168.58123,4.4638522,0.6155213,GALAXY,0.6155213,290.8853,83.26447,boss
1237655125002354811,168.62232,4.507374,0.2594018,GALAXY,0.2594018,245.2567,13.15403,boss
0,168.63297,4.4918064,0.3636334,GALAXY,0.3636334,513.1097,204.0246,boss
1237655125002354855,168.62999,4.5348865,0.3096557,GALAXY,0.3096557,240.8461,17.42867,boss
1237654604792595004,168.59354,4.2565944,0.4657466,GALAXY,0.4657466,209.5688,26.77285,boss
1237654604792594743,168.65132,4.3646533,0.2599454,GALAXY,0.2599454,200.2164,15.76699,boss
1237651755079041487,168.48811,3.2921148,0.5281845,GALAXY,0.5281845,187.5531,60.20613,boss
1237654030864089641,168.45932,3.1756336,0.57372,GALAXY,0.57372,359.3619,59.75309,boss
0,168.52431,3.2589843,0.621269,GALAXY,0.621269,90.90537,57.90492,boss
1237655123928547834,168.61641,3.5600654,0.5017185,GALAXY,0.5017185,196.5412,22.84316,boss
1237651755079041410,168.45614,3.2419324,0.3362022,GALAXY,0.3362022,179.73,22.51902,boss
1237654031401025901,168.55619,3.4893406,0.5155627,GALAXY,0.5155627,177.1412,33.1415,boss
0,168.48069,3.6064331,0.2354275,GALAXY,0.2354275,0,0,boss
1237655123928547755,168.56418,3.6187867,0.5022896,GALAXY,0.5022896,205.9905,52.37463,boss
1237654604255658967,168.54978,3.8444745,0.7069811,GALAXY,0.7069811,171.1422,47.52883,boss
1237654604255593039,168.37979,3.7586849,0.4571251,GALAXY,0.4571251,255.3813,25.66414,boss
1237654604255592624,168.41441,3.7680349,0.1881128,GALAXY,0.1881128,182.8324,15.55452,boss
1237654031401091468,168.68995,3.523758,0.5160923,GALAXY,0.5160923,181.5816,45.89258,boss
1237655123928547879,168.63582,3.7020138,0.4624203,GALAXY,0.4624203,261.7774,18.49742,boss
1237655123928547932,168.50975,3.7273451,0.6188279,GALAXY,0.6188279,244.9668,36.71376,boss
1237655123928482174,168.42437,3.6654201,0.5559451,GALAXY,0.5559451,196.1828,22.12851,boss
1237655124465353219,168.44565,3.9600219,0.3052712,GALAXY,0.3052712,186.2692,30.41418,boss
1237654604255593091,168.4038,3.9117677,0.372746,GALAXY,0.372746,122.5584,25.7138,boss
1237654604792529314,168.54925,4.1891956,0.309204,GALAXY,0.309204,242.5619,17.6229,boss
1237654604792529166,168.51513,4.2130707,0.226773,GALAXY,0.226773,224.9268,13.81803,boss
0,168.49154,4.0519026,0.9382767,GALAXY,0.9382767,850,-3,boss
1237655124465353277,168.46527,4.1258426,0.5014905,GALAXY,0.5014905,283.6671,34.8858,boss
1237655124465418332,168.48003,4.1052266,0.005339862,GALAXY,0.005339862,0,14.47031,boss
1237654604792529280,168.51384,4.1729481,0.2713245,GALAXY,0.2713245,195.7614,13.50259,boss
